# ----------------------------------------------------------------------------
# Dataset: number of interactions and nodes in plant-frugivore interaction
# networks.
# Pedro Jordano. Sevilla.. 21 December 2023.
#
# id: number ID. of dataset.
# type: sp, species-based network; ind: individual-based network.
# sp: plant species name and family.
# P: number of plant species (for sp-based netwotks) or plant individuals (for 
#    ind-based networks) studied. 
# A: number of animal species.
# S: total number of nodes in the network (A+P).
# I: number of distinct interactions in network.
# C: connectance (C= i/(A+P)).
# biome: t, tropical; nt: non-tropical.
# site: study locality.
# reference: Bibliographic reference.
# node: refers to the total number of species or of individuals (P+A) in 
#       the adjacency matrix.
# 
# Reference for data: Quintero et al. 2025. 
#                     PNAS, doi= 10.1101/2024.02.02.578595.
# ----------------------------------------------------------------------------
id	code	type	sp	P	A	S	I	C	biome	site	reference
79	sdw28	sp	NA	33	88	121	452	0,1556	t	NA	Schleuning M, Bluthgen N, Florchinger M, Braun J, Schaefer HM, Bohning-Gaese K. 2011. Specialization and interaction strength in a tropical plant-frugivore network differ among forest strata. Ecology 92: 26-36.
80	sdw29	sp	NA	49	16	65	180	0,2296	t	NA	Castro, E.R.D. (2007). Fenologia reprodutiva do palmito Euterpe edulis (Erecaceae) e sua influência na abundância de aves frugívoras na floresta atlântica. PhD Thesis. Instituto de Biociencias. Universidade Estadual Paulista "Juio de Mesquita Filho" Rio Claro, SP, Brazil.
81	sdw30	sp	NA	13	45	58	196	0,3350	t	NA	Correia, J.M.S. (1997). Utilização de espécies frutíferas de mata Atlântica na alimentação da avifauna da reserva biológica de Poço das Antas, RJ. MSc Thesis. Instituto de Biologia. UNB, Brazil.
82	sdw31	sp	NA	13	30	43	158	0,4051	t	NA	Alves, K.J.F. (2008). Composição da avifauna e frugivoria por aves em um mosaico sucessional na mata Atlântica. MSc Thesis. Instituto de Biociencias. Universidade Estadual Paulista‚ Julio de Mesquita Filho‚ Rio Claro, SP, Brazil.
83	sdw32	sp	NA	9	30	39	101	0,3741	t	NA	Athie, S. (2009). Composição da avifauna e frugivoria por aves em um mosaico de vegetação secundária em Rio Claro, região centro-leste do estado de São Paulo. MSc Thesis. Universidade Federal de São Carlos, Brazil.
84	sdw33	sp	NA	25	28	53	115	0,1643	t	NA	Ferreira Fadini, R. & De Marco Jr., P. (2004). Interações entre aves frugívoras e plantas em um fragmento de mata atlântica de Minas Gerais. Ararajuba, 12, 97-103.
85	sdw34	sp	NA	26	22	48	105	0,1836	t	NA	Hasui, Erica. (1994). O papel das aves frugivoras na dispersao de sementes em um fragmento de floresta semidecidua secundaria em Sao Paulo, SP. MSc thesis. USP Sao Paulo, Brazil.
86	sdw35	sp	NA	22	20	42	89	0,2023	t	NA	Silva, R. F. d. M. (2011). Interações entre plantas e aves frugívoras no campus da Universidade Federal Rural do Rio de Janeiro. In: Instituto de Florestas. Universidade Federal do Rio de Janeiro Rio de Janeiro, Brazil.
87	sdw36-1	sp	NA	12	15	27	44	0,2444	t	15-year-old restored plot	Ribeiro da Silva, F., Montoya, D., Furtado, R., Memmott, J., Pizo, M.A. and Rodrigues, R.R. (2015), The restoration of tropical seed dispersal networks. Restor Ecol, 23: 852-860.
88	sdw36-2	sp	NA	23	29	52	152	0,2279	t	25-year-old restored plot	Ribeiro da Silva, F., Montoya, D., Furtado, R., Memmott, J., Pizo, M.A. and Rodrigues, R.R. (2015), The restoration of tropical seed dispersal networks. Restor Ecol, 23: 852-860.
89	sdw36-3	sp	NA	14	14	28	49	0,2500	t	57-year-old restored plot	Ribeiro da Silva, F., Montoya, D., Furtado, R., Memmott, J., Pizo, M.A. and Rodrigues, R.R. (2015), The restoration of tropical seed dispersal networks. Restor Ecol, 23: 852-860.
90	sdw37	sp	NA	6	28	34	56	0,3333	t	NA	Robinson, V. (2015). Interações entre aves frugívoras e plantas em um fragmento de mata atlântica de Minas Gerais. In: Instituto de Biociencias. Universidade Estadual Paulista "Julio de Mesquita Filho" Rio Claro, SP, Brazil.
91	sdw38	sp	NA	30	58	88	270	0,1552	t	NA	Rodrigues, S. B. M. (2015). Rede de interações entre aves frugivoras e plantas em una área de mata Atlântica no sudeste do Brasil. Universidade Federal de Sao Carlos, Campus Sorocaba Sorocaba, SP, Brazil.
92	sdw39	sp	NA	18	9	27	138	0,8519	nt	NA	Burns, K.C. (2013). What causes size coupling in fruit-frugivore interaction webs? Ecology, 94, 295-300.
93	sdw40	sp	NA	8	12	20	46	0,4792	nt	site_11	Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore-mediated facilitation and competition among co-dispersed plant species. Journal of Ecology, 103(2), 526–536.
94	sdw40	sp	NA	7	11	18	39	0,5065	nt	site_13	Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore-mediated facilitation and competition among co-dispersed plant species. Journal of Ecology, 103(2), 526–536.
95	sdw40	sp	NA	9	13	22	51	0,4359	nt	site_15	Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore-mediated facilitation and competition among co-dispersed plant species. Journal of Ecology, 103(2), 526–536.
96	sdw40	sp	NA	8	13	21	44	0,4231	nt	site_30	Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore-mediated facilitation and competition among co-dispersed plant species. Journal of Ecology, 103(2), 526–536.
97	sdw40	sp	NA	8	10	18	37	0,4625	nt	site_35	Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore-mediated facilitation and competition among co-dispersed plant species. Journal of Ecology, 103(2), 526–536.
98	sdw40	sp	NA	8	10	18	38	0,4750	nt	site_36	Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore-mediated facilitation and competition among co-dispersed plant species. Journal of Ecology, 103(2), 526–536.
99	sdw40	sp	NA	8	11	19	41	0,4659	nt	site_102	Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore-mediated facilitation and competition among co-dispersed plant species. Journal of Ecology, 103(2), 526–536.
100	sdw40	sp	NA	10	13	23	52	0,4000	nt	site_111	Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore-mediated facilitation and competition among co-dispersed plant species. Journal of Ecology, 103(2), 526–536.
101	sdw40	sp	NA	8	15	23	65	0,5417	nt	site_112	Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore-mediated facilitation and competition among co-dispersed plant species. Journal of Ecology, 103(2), 526–536.
102	sdw40	sp	NA	9	16	25	50	0,3472	nt	site_203	Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore-mediated facilitation and competition among co-dispersed plant species. Journal of Ecology, 103(2), 526–536.
103	sdw40	sp	NA	6	20	26	49	0,4083	nt	site_301	Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore-mediated facilitation and competition among co-dispersed plant species. Journal of Ecology, 103(2), 526–536.
104	sdw40	sp	NA	8	19	27	64	0,4211	nt	site_315	Albrecht, J., Bohle, V., Berens, D. G., Jaroszewicz, B., Selva, N., & Farwig, N. (2015). Variation in neighbourhood context shapes frugivore-mediated facilitation and competition among co-dispersed plant species. Journal of Ecology, 103(2), 526–536.
105	sdw41	sp	NA	22	17	39	100	0,2674	nt	NA	Andrade, P., Mota, J. & Carvalho, A. (2011). Mutual interactions between frugivorous birds and plants in an urban fragment of Atlantic Forest, Salvador, BA. Revista Brasileira de Ornitologia, 19, 63-73.
106	sdw42	sp	NA	6	7	13	29	0,6905	t	NA	Carlo, T.A., Collazo, J.A. & Groom, M.J. (2003). Avian fruit  preferences across a Puerto Rican forested landscape: pattern  consistency and implications for seed removal. Oecologia, 134,  119-131.
107	sdw43	sp	NA	34	20	54	129	0,1897	t	NA	Yang, S., Albert, R. & Carlo, T.A. (2013). Transience and constancy of interactions in a plant-frugivore network. Ecosphere, 4(12): 147.
108	sdw44	sp	NA	14	6	20	36	0,4286	t	NA	Garcia, Q.S., Rezende, J.L.P. & Aguiar, L.M.S. (2000). Seed dispersal by bats in a disturbed area of Southeastern Brazil. Revista de Biología Tropical, 48, 125-128.
109	sdw45	sp	NA	81	18	99	282	0,1934	t	NA	Gorchov, D.L., Cornejo, F., Ascorra, C.F. & Jaramillo, M. (1995). Dietary overlap between frugivorous birds and bats in the peruvian amazon. Oikos, 74, 235-250.
110	sdw46	sp	NA	35	14	49	130	0,2653	t	NA	Palmeirim, J.M., Gorchov, D.L. & Stoleson, S. (1989). Trophic structure of a neotropical frugivore community: is there competition between birds and bats? Oecologia (Berl.), 79, 403-411.
111	sdw47	sp	NA	35	14	49	154	0,3143	t	NA	Lopez, J.E. & Vaughan, C. (2004). Observations on the Role of Frugivorous Bats as Seed Dispersers in Costa Rican Secondary Humid Forests. Acta Chiropterologica, 6, 111-119.
112	sdw48	sp	NA	43	15	58	140	0,2171	t	NA	Heleno, R.H., Olesen, J.M., Nogales, M., Vargas, P. & Traveset, A. (2013). Seed dispersal networks in the Galapagos and the consequences of alien plant invasions. Proc Biol Sci, 280, 20122112.
113	sdw49	sp	NA	22	7	29	69	0,4481	t	Tropical montane cloud forest fragment	Hernandez-Montero, J.R., Saldana-Vazquez, R.A., Galindo-Gonzalez, J. & Sosa, V.J. (2015). Bat-fruit interactions are more specialized in shaded-coffee plantations than in tropical mountain cloud forest fragments. PLoS ONE, 10, e0126084.
114	sdw49	sp	NA	19	6	25	53	0,4649	t	Shaded-coffee plantation	Hernandez-Montero, J.R., Saldana-Vazquez, R.A., Galindo-Gonzalez, J. & Sosa, V.J. (2015). Bat-fruit interactions are more specialized in shaded-coffee plantations than in tropical mountain cloud forest fragments. PLoS ONE, 10, e0126084.
115	sdw50	sp	NA	24	7	31	74	0,4405	t	NA	Passos, F.C., Silva, W.R., Pedro, W.A. & Bonin, M.R. (2003). Frugivoria em morcegos (Mammalia, Chiroptera) no Parque Estadual Intervales, sudeste do Brasil. Revista Brasileira de Zoologia, 20, 511-517.
116	sdw51	sp	NA	13	7	20	43	0,4725	t	NA	Pedro, W.A. (1992). Estrutura de uma taxocenose de morcegos da reserva do Panga (Uberlandia, MG), com enfase nas relações troficas em Phyllostomidae (Mammalia: Chiroptera). MSC thesis. Universidade Estadual de Campinas Campinas, SP, Brazil.
117	sdw52	sp	NA	17	20	37	103	0,3029	t	NA	Poulin, B., Wright, S.J., Lefebvre, G. & Calderon, O. (1999). Interspecific synchrony and asynchrony in the fruiting phenologies of congeneric bird-dispersed plants in Panama. Journal of Tropical Ecology, 15, 213-227.
118	sdw53	sp	NA	56	20	76	160	0,1429	t	NA	Sarmento, R., Alves-Costa, C.i.P., Ayub, A. & Mello, M.A.R. (2014). Partitioning of seed dispersal services between birds and bats in a fragment of the Brazilian Atlantic Forest. Zoologia (Curitiba, Impresso), 31, 245-255.
119	sdw54	sp	NA	30	31	61	219	0,2355	nt	NA	Stiebel, H. & Bairlein, F. (2008). Frugivorie mitteleuropäischer Vögel I: Nahrung und Nahrungserwerb. Vogelwarte, 46, 1-23.
120	sdw55	sp	NA	7	6	13	29	0,6905	t	NA	Silveira, M. (2006). Dispersão de sementes por morcegos frugívoros em uma área em processo de restauração vegetal na RPPN Parque Florestal São Marcelo Mogi-Guaçu, SP. Universidade Estadual de São Paulo Rio Claro, SP, Brazil, p. 43.
121	sdw57	sp	NA	36	41	77	163	0,1104	t	Forest edge	Saavedra, F., Hensen, I., Beck, S. G., Böhning-Gaese, K., Lippok, D., Töpfer, T., & Schleuning, M. (2014). Functional importance of avian seed dispersers changes in response to human-induced forest edges in tropical seed-dispersal networks. Oecologia, 176, 837-848.
122	sdw57	sp	NA	20	23	43	72	0,1565	t	Forest interior	Saavedra, F., Hensen, I., Beck, S. G., Böhning-Gaese, K., Lippok, D., Töpfer, T., & Schleuning, M. (2014). Functional importance of avian seed dispersers changes in response to human-induced forest edges in tropical seed-dispersal networks. Oecologia, 176, 837-848.
123	sdw58	sp	NA	8	30	38	77	0,3208	nt	Interior little disturbed	Menke, S., Böhning‐Gaese, K. & Schleuning, M. (2012). Plant-frugivore networks are less specialized and more robust at forest-farmland edges than in the interior of a tropical forest. Oikos, 121, 1553-1566.
124	sdw58	sp	NA	7	38	45	111	0,4173	nt	Edge little disturbed	Menke, S., Böhning‐Gaese, K. & Schleuning, M. (2012). Plant-frugivore networks are less specialized and more robust at forest-farmland edges than in the interior of a tropical forest. Oikos, 121, 1553-1566.
125	sdw58	sp	NA	8	34	42	96	0,3529	nt	Interior highly disturbed	Menke, S., Böhning‐Gaese, K. & Schleuning, M. (2012). Plant-frugivore networks are less specialized and more robust at forest-farmland edges than in the interior of a tropical forest. Oikos, 121, 1553-1566.
126	sdw58	sp	NA	8	39	47	123	0,3942	nt	Edge highly disturbed	Menke, S., Böhning‐Gaese, K. & Schleuning, M. (2012). Plant-frugivore networks are less specialized and more robust at forest-farmland edges than in the interior of a tropical forest. Oikos, 121, 1553-1566.
127	sdw59	sp	NA	13	7	20	42	0,4615	t	NA	Hayashi, M.M. (1996). Morcegos frugívoros em duas áreas alteradas da fazenda Lageado, Botucatu, Estado de São Paulo. Universidade Estadual Paulista Botucatu, SP, Brazil.
128	sdw60	sp	NA	17	26	43	79	0,1787	nt	NA	Costa, J.M., Ramos, J.A., da Silva, L.P.L.P.L.P., Timoteo, S., Araújo, P.M., Felgueiras, M.S., et al. (2014). Endozoochory largely outweighs epizoochory in migrating passerines. Journal of Avian Biology, 45, 59–64.
129	sdw61	sp	NA	21	35	56	186	0,2531	t	NA	Giannini NP, Kalko EKV (2004) Trophic structure in a large assemblage of phyllostomid bats in Panama. Oikos 105: 209-220.
130	sdb62	sp	NA	787	343	1130	8320	0,0308	t	NA	Bello, C., Galetti, M., Montan, D., Pizo, M.A., Mariguela, T.C., Culot, L., et al. (2017). ATLANTIC frugivory: a plant–frugivore interaction data set for the Atlantic Forest. Ecology, 98, 1729–1729.
131	sdb63	sp	NA	73	39	112	285	0,1001	t	PE Carlos Botelho, SP, Brazil	Bello, C., Galetti, M., Montan, D., Pizo, M.A., Mariguela, T.C., Culot, L., et al. (2017). ATLANTIC frugivory: a plant–frugivore interaction data set for the Atlantic Forest. Ecology, 98, 1729–1729.
133	sdb64	sp	NA	47	42	89	163	0,0826	t	PE Ilha do Cardoso, SP, Brazil.	Bello, C., Galetti, M., Montan, D., Pizo, M.A., Mariguela, T.C., Culot, L., et al. (2017). ATLANTIC frugivory: a plant–frugivore interaction data set for the Atlantic Forest. Ecology, 98, 1729–1729.
134	sdb65	sp	NA	203	107	310	1124	0,0517	t	PE Intervales, SP, Brazil.	Bello, C., Galetti, M., Montan, D., Pizo, M.A., Mariguela, T.C., Culot, L., et al. (2017). ATLANTIC frugivory: a plant–frugivore interaction data set for the Atlantic Forest. Ecology, 98, 1729–1729.
135	sdb66	sp	NA	14	22	36	70	0,2273	t	NA	Kindel, A. (1996). Interações entre plantas ornitocóricas e aves frugívoras na Estação Ecológica de Aracuri, Muitos Capões, RS. UFRGS, Porto Alegre, Brazil.
136	sdw67	sp	NA	73	128	201	826	0,0884	t	NA	Stevenson, P.R., Link, A., González-Caro, S. & Torres-Jiménez, M.F. (2015). Frugivory in canopy plants in a western Amazonian forest: dispersal systems, phylogenetic ensembles and keystone plants. PLoS ONE, 10, e0140751--22.
137	sdw68	sp	NA	14	42	56	119	0,2024	t	NA	Walther, B.A., Geier, J., Chou, L.-S. & Bain, A. (2018). The figs of winter: Seasonal importance of fruiting fig trees ( Ficus : Moraceae) for urban birds. Acta Oecologica, 90, 28–34.
138	sdb69	sp	NA	60	75	135	780	0,1733	t	NA	Palacio, R.D., Valderrama‐Ardila, C. & Kattan, G.H. (2016). Generalist species have a central role in a highly diverse plant–frugivore network. Biotropica, 48, 349–355.
139	sdb70	sp	NA	90	68	158	586	0,0958	t	NA	Machado-de-Souza, T., Campos, R.P., Devoto, M. & Varassin, I.G. (2019). Local drivers of the structure of a tropical bird-seed dispersal network. Oecologia, 189, 421–433.
140	sdb71	sp	NA	43	47	90	355	0,1757	t	NA	Naniwadekar, R., Chaplod, S., Datta, A., Rathore, A. & Sridhar, H. (2019). Large frugivores matter: Insights from network and seed dispersal effectiveness approaches. Journal of Animal Ecology, 88, 1250–1262.
141	sdb72-1	sp	NA	140	98	238	572	0,0417	nt	Alpine biome.	Mendes, S.B., Olesen, J.M., Memmott, J., Costa, J.M., Timóteo, S., Dengucho, A.L., et al. (2024). Evidence of a European seed dispersal crisis. Science, 386, 206–211.
142	sdb72-2	sp	NA	7	14	21	25	0,2551	nt	Arctic biome.	Mendes, S.B., Olesen, J.M., Memmott, J., Costa, J.M., Timóteo, S., Dengucho, A.L., et al. (2024). Evidence of a European seed dispersal crisis. Science, 386, 206–211.
143	sdb72-3	sp	NA	230	147	377	1419	0,0420	nt	Atlantic biome.	Mendes, S.B., Olesen, J.M., Memmott, J., Costa, J.M., Timóteo, S., Dengucho, A.L., et al. (2024). Evidence of a European seed dispersal crisis. Science, 386, 206–211.
144	sdb72-4	sp	NA	19	8	27	45	0,2961	nt	Blacksea biome.	Mendes, S.B., Olesen, J.M., Memmott, J., Costa, J.M., Timóteo, S., Dengucho, A.L., et al. (2024). Evidence of a European seed dispersal crisis. Science, 386, 206–211.
145	sdb72-5	sp	NA	153	133	286	795	0,0391	nt	Boreal biome.	Mendes, S.B., Olesen, J.M., Memmott, J., Costa, J.M., Timóteo, S., Dengucho, A.L., et al. (2024). Evidence of a European seed dispersal crisis. Science, 386, 206–211.
146	sdb72-6	sp	NA	236	150	386	1543	0,0436	nt	Continental biome.	Mendes, S.B., Olesen, J.M., Memmott, J., Costa, J.M., Timóteo, S., Dengucho, A.L., et al. (2024). Evidence of a European seed dispersal crisis. Science, 386, 206–211.
147	sdb72-7	sp	NA	361	226	587	2398	0,0294	nt	Mediterranean biome.	Mendes, S.B., Olesen, J.M., Memmott, J., Costa, J.M., Timóteo, S., Dengucho, A.L., et al. (2024). Evidence of a European seed dispersal crisis. Science, 386, 206–211.
148	sdb72-8	sp	NA	74	53	127	244	0,0622	nt	Pannonian biome.	Mendes, S.B., Olesen, J.M., Memmott, J., Costa, J.M., Timóteo, S., Dengucho, A.L., et al. (2024). Evidence of a European seed dispersal crisis. Science, 386, 206–211.
149	sdb72-9	sp	NA	90	65	155	408	0,0697	nt	Steppic biome.	Mendes, S.B., Olesen, J.M., Memmott, J., Costa, J.M., Timóteo, S., Dengucho, A.L., et al. (2024). Evidence of a European seed dispersal crisis. Science, 386, 206–211.
150	sdw73	sp	NA	44	42	86	260	0,1407	nt	Aggregated temporal network.	Ramos-Robles, M., Andresen, E. & Díaz-Castelazo, C. (2016). Temporal changes in the structure of a plant-frugivore network are influenced by bird migration and fruit availability. PeerJ, 4, e2048–e2048.
151	sdw74	sp	NA	88	33	121	507	0,1746	t	NA	Schleuning, M., Bluthgen, N., Florchinger, M., Braun, J., Schaefer, H.M. & Bohning-Gaese, K. (2011). Specialization and interaction strength in a tropical plant-frugivore network differ among forest strata. Ecology, 92, 26–36.
152	sdw75	sp	NA	22	45	67	116	0,1172	t	Colombia 1	Dehling, D.M., Bender, I.M.A., Blendinger, P.G., Böhning‐Gaese, K., Muñoz, M.C., Neuschulz, E.L., et al. (2021). Specialists and generalists fulfil important and complementary functional roles in ecological processes. Functional Ecology, 35, 1810–1821.
153	sdw76	sp	NA	26	39	65	122	0,1203	t	Colombia 2	Dehling, D.M., Bender, I.M.A., Blendinger, P.G., Böhning‐Gaese, K., Muñoz, M.C., Neuschulz, E.L., et al. (2021). Specialists and generalists fulfil important and complementary functional roles in ecological processes. Functional Ecology, 35, 1810–1821.
154	sdw77	sp	NA	26	51	77	125	0,0943	t	Ecuador 1	Dehling, D.M., Bender, I.M.A., Blendinger, P.G., Böhning‐Gaese, K., Muñoz, M.C., Neuschulz, E.L., et al. (2021). Specialists and generalists fulfil important and complementary functional roles in ecological processes. Functional Ecology, 35, 1810–1821.
155	sdw78	sp	NA	20	38	58	79	0,1039	t	Ecuador 2	Dehling, D.M., Bender, I.M.A., Blendinger, P.G., Böhning‐Gaese, K., Muñoz, M.C., Neuschulz, E.L., et al. (2021). Specialists and generalists fulfil important and complementary functional roles in ecological processes. Functional Ecology, 35, 1810–1821.
156	sdw79	sp	NA	19	13	32	54	0,2186	t	Ecuador 3	Dehling, D.M., Bender, I.M.A., Blendinger, P.G., Böhning‐Gaese, K., Muñoz, M.C., Neuschulz, E.L., et al. (2021). Specialists and generalists fulfil important and complementary functional roles in ecological processes. Functional Ecology, 35, 1810–1821.
157	sdw80	sp	NA	52	61	113	394	0,1242	t	Peru 1	Dehling, D.M., Bender, I.M.A., Blendinger, P.G., Böhning‐Gaese, K., Muñoz, M.C., Neuschulz, E.L., et al. (2021). Specialists and generalists fulfil important and complementary functional roles in ecological processes. Functional Ecology, 35, 1810–1821.
158	sdw81	sp	NA	31	41	77	207	0,1629	t	Peru 2	Dehling, D.M., Bender, I.M.A., Blendinger, P.G., Böhning‐Gaese, K., Muñoz, M.C., Neuschulz, E.L., et al. (2021). Specialists and generalists fulfil important and complementary functional roles in ecological processes. Functional Ecology, 35, 1810–1821.
159	sdw82	sp	NA	31	41	72	145	0,3662	t	Bolivia_edge	Dehling, D.M., Bender, I.M.A., Blendinger, P.G., Böhning‐Gaese, K., Muñoz, M.C., Neuschulz, E.L., et al. (2021). Specialists and generalists fulfil important and complementary functional roles in ecological processes. Functional Ecology, 35, 1810–1821.
160	sdw83	sp	NA	18	22	40	66	0,0978	t	Bolivia_forest	Dehling, D.M., Bender, I.M.A., Blendinger, P.G., Böhning‐Gaese, K., Muñoz, M.C., Neuschulz, E.L., et al. (2021). Specialists and generalists fulfil important and complementary functional roles in ecological processes. Functional Ecology, 35, 1810–1821.
161	sdw84	sp	NA	27	25	51	106	0,1570	t	Argentina	Dehling, D.M., Bender, I.M.A., Blendinger, P.G., Böhning‐Gaese, K., Muñoz, M.C., Neuschulz, E.L., et al. (2021). Specialists and generalists fulfil important and complementary functional roles in ecological processes. Functional Ecology, 35, 1810–1821.
162	sdw85	sp	NA	12	17	29	56	0,274509804	nt	Germany; farmlnad summer	Plein, M., Längsfeld, L., Neuschulz, E.L., Schultheiß, C., Ingmann, L., Töpfer, T., et al. (2013). Constant properties of plant–frugivore networks despite fluctuations in fruit and bird communities in space and time. Ecology, 94, 1296–1306.
163	sdw86	sp	NA	13	22	35	54	0,188811189	nt	Germany; orchard summer	Plein, M., Längsfeld, L., Neuschulz, E.L., Schultheiß, C., Ingmann, L., Töpfer, T., et al. (2013). Constant properties of plant–frugivore networks despite fluctuations in fruit and bird communities in space and time. Ecology, 94, 1296–1306.
164	sdw87	sp	NA	14	25	39	55	0,157142857	nt	Germany; forest summer	Plein, M., Längsfeld, L., Neuschulz, E.L., Schultheiß, C., Ingmann, L., Töpfer, T., et al. (2013). Constant properties of plant–frugivore networks despite fluctuations in fruit and bird communities in space and time. Ecology, 94, 1296–1306.
165	sdw88	sp	NA	13	24	37	67	0,21474359	nt	Germany; farmlnad autumn	Plein, M., Längsfeld, L., Neuschulz, E.L., Schultheiß, C., Ingmann, L., Töpfer, T., et al. (2013). Constant properties of plant–frugivore networks despite fluctuations in fruit and bird communities in space and time. Ecology, 94, 1296–1306.
166	sdw89	sp	NA	18	26	44	73	0,155982906	nt	Germany; orchard autumn	Plein, M., Längsfeld, L., Neuschulz, E.L., Schultheiß, C., Ingmann, L., Töpfer, T., et al. (2013). Constant properties of plant–frugivore networks despite fluctuations in fruit and bird communities in space and time. Ecology, 94, 1296–1306.
167	sdw90	sp	NA	15	20	35	86	0,286666667	nt	Germany; forest autumn	Plein, M., Längsfeld, L., Neuschulz, E.L., Schultheiß, C., Ingmann, L., Töpfer, T., et al. (2013). Constant properties of plant–frugivore networks despite fluctuations in fruit and bird communities in space and time. Ecology, 94, 1296–1306.
168	sdw91	sp	NA	10	33	43	115	0,348484848	nt	NA	Schlautmann, J., Rehling, F., Albrecht, J., Jaroszewicz, B., Schabo, D. G., & Farwig, N. (2021). Observing frugivores or collecting scats: A method comparison to construct quantitative seed dispersal networks. Oikos, 130(8), 1359–1369. https://doi.org/10.1111/oik.08175
