# ----------------------------------------------------------------------------
# Dataset: number of interactions and nodes in plant-frugivore interaction
# networks.
# Pedro Jordano. Sevilla.. 21 December 2023.
#
# id: number ID. of dataset.
# type: sp, species-based network; ind: individual-based network.
# sp: plant species name and family.
# P: number of plant species (for sp-based netwotks) or plant individuals (for 
#    ind-based networks) studied. 
# A: number of animal species.
# S: total number of nodes in the network (A+P).
# I: number of distinct interactions in network.
# C: connectance (C= i/(A+P)).
# biome: t, tropical; nt: non-tropical.
# site: study locality.
# reference: Bibliographic reference.
# node: refers to the total number of species or of individuals (P+A) in 
#       the adjacency matrix.
# 
# Reference for data: Quintero et al. 2025. 
#                     PNAS, doi= 10.1101/2024.02.02.578595.
# ----------------------------------------------------------------------------
id	code	type	sp	P	A	S	I	C	biome	site	reference
20	indw20	ind	Persea macrantha (Lauraceae)	32	21	53	186	0,2768	t	NA	Gopal, A., Mudappa, D., Raman, T. S., & Naniwadekar, R. (2020). Forest cover and fruit crop size differentially influence frugivory of select rainforest tree species in Western Ghats, India. Biotropica, 52(5), 871-883.
21	indw21	ind	Henriettea succosa (Melastomataceae)	18	22	40	77	0,1944	t	NA	Crestani, A. C., Mello, M. A. R., & Cazetta, E. (2019). Interindividual variations in plant and fruit traits affect the structure of a plant-frugivore network. Acta Oecologica, 95, 120-127.
22	indw22	ind	Prestoea decurrens (Arecaceae)	31	9	40	100	0,3584	t	NA	Lamperty, T., Karubian, J., & Dunham, A. E. (2021). Ecological drivers of intraspecific variation in seed dispersal services of a common neotropical palm. Biotropica, 53(4), 1226–1237.
23	indw23	ind	Corema album (Ericaceae)	24	15	39	129	0,3583	nt	NA	Villalva, P., Arroyo‐Correa, B., Calvo, G., Homet, P., Isla, J., Mendoza, I., et al. (2024). FRUGIVORY CAMTRAP : A dataset of plant–animal interactions recorded with camera traps. Ecology, 105, e4424.
24	indw24	ind	Bursera penicillata (Burseraceae)	15	11	26	43	0,2606	t	NA	Ramaswami, G., Somnath, P., & Quader, S. (2017). Plant-disperser mutualisms in a semi-arid habitat invaded by Lantana camara L. Plant Ecology, 218, 935-946.
25	indw25	ind	Erythroxylum monogynum (Erythroxylaceae)	12	6	18	29	0,4028	t	NA	Ramaswami, G., Somnath, P., & Quader, S. (2017). Plant-disperser mutualisms in a semi-arid habitat invaded by Lantana camara L. Plant Ecology, 218, 935-946.
26	indw26	ind	Flacourtia indica (Salicaceae)	13	5	18	33	0,5077	t	NA	Ramaswami, G., Somnath, P., & Quader, S. (2017). Plant-disperser mutualisms in a semi-arid habitat invaded by Lantana camara L. Plant Ecology, 218, 935-946.
27	indw27	ind	Flueggea leucopyrus (Phyllanthaceae)	10	8	18	22	0,2750	t	NA	Ramaswami, G., Somnath, P., & Quader, S. (2017). Plant-disperser mutualisms in a semi-arid habitat invaded by Lantana camara L. Plant Ecology, 218, 935-946.
28	indw28	ind	Canthium coromandelicum (Rubiaceae)	10	8	18	30	0,3750	t	NA	Ramaswami, G., Somnath, P., & Quader, S. (2017). Plant-disperser mutualisms in a semi-arid habitat invaded by Lantana camara L. Plant Ecology, 218, 935-946.
29	indw29	ind	Santalum album (Santalaceae)	14	10	24	38	0,2714	nt	NA	Ramaswami, G., Somnath, P., & Quader, S. (2017). Plant-disperser mutualisms in a semi-arid habitat invaded by Lantana camara L. Plant Ecology, 218, 935-946.
