"","node","mux","agg","layer1","layer2","layer3"
"1",1,0.268039705813433,0.294334944645025,0.160438315047583,0.0869519151265311,0.153217885001258
"2",2,0.597097653368439,0.900707103591713,0.138747320946473,0.138905377728629,0.753246830891266
"3",3,0.430562988549276,0.523947321127045,0.0821086318409137,0.242939680274963,0.28692431134444
"4",4,0.252166209655386,0.32239275563537,0.0499914278339845,0.0962733692508493,0.256004116073747
"5",5,0.412070305005423,0.50384552956965,0.19899550512241,0.147518835216517,0.274545859991857
"6",6,0.312814827870181,0.298020076318522,0.212307272418574,0.143573650602869,0.0610513068050503
"7",7,0.789091621717556,0.922986409534407,0.281995093019374,0.462800977284284,0.308387504097175
"8",8,0.557979387983069,0.656281316646257,0.0547557008100347,0.444920788753031,0.187456585331874
"9",9,0.25181328318491,0.35258740076222,0.0440886500562067,0.087691036316719,0.280392654818828
"10",10,0.261136734134736,0.268389032318351,0.187049542683384,0.0984876574291787,0.0793970295659455
"11",11,0.356071479346337,0.374245108005324,0.230884286462181,0.170976456190514,0.0696169744419151
"12",12,0.407476166244139,0.458562668140653,0.3063973090698,0.0978582739894181,0.213626960851074
"13",13,0.279092201088024,0.343548496665011,0.0411372611673178,0.152569600719754,0.212448889940572
"14",14,0.472325906676386,0.531970995329282,0.0894500588827746,0.349412066166122,0.152341532657625
"15",15,0.879095261583104,1,0.278513195454758,0.612560645799275,0.202148147883239
"16",16,0.40760220636735,0.610573961221878,0.099026534143368,0.0670968762327466,0.562802200154514
"17",17,0.27135188820797,0.33881666868521,0.0890276231931696,0.100115808948661,0.233351103637198
"18",18,0.293909495318958,0.379690468753737,0.06179698338954,0.113152713344889,0.291618527375406
"19",19,0.313681371941891,0.401098696875595,0.08835948338954,0.114566903353324,0.29228907428499
"20",20,0.107700073637896,0.0830539535351097,0.105466617857693,0.0186250838088586,0.0366802097667181
"21",21,0.0554571730333564,0.0333925702608508,0.0263803167228734,0.0202727944067364,0.0366802097667181
"22",22,0.0645074542858404,0.0415195221318404,0.0263803167228734,0.029660200152863,0.0366802097667181
"23",23,0.0595574392904974,0.0369173650575574,0.0263803167228734,0.0245257962692332,0.0366802097667181
"24",24,0.157634183176088,0.116167656582661,0.0263803167228734,0.126255915303962,0.0366802097667181
"25",25,0.887110414527453,0.77280195277346,0.0263803167228734,0.882905258546307,0.0366802097667181
"26",26,0.0683980391290195,0.0457298428282448,0.0263803167228734,0.0336957099335814,0.0366802097667181
"27",27,0.055764903574691,0.0335063283266693,0.0263803167228734,0.0205919879623168,0.0366802097667181
"28",28,0.0612782421438551,0.0386526366623282,0.0263803167228734,0.0263106993173156,0.0366802097667181
"29",29,0.0874208739894104,0.0611501257675126,0.0263803167228734,0.0534271485810859,0.0366802097667181
"30",30,0.14431526142521,0.118397425030721,0.0263803167228734,0.112440861485376,0.0366802097667181
"31",31,0.0572879581340901,0.0350873610050955,0.0263803167228734,0.0221717765593445,0.0366802097667181
"32",32,0.0571241982076804,0.0349625499499113,0.0263803167228734,0.022001916548227,0.0366802097667181
"33",33,0.0576611714325942,0.0352118466921133,0.0263803167228734,0.022558892115775,0.0366802097667181
"34",34,0.0798570301443463,0.0562726404082589,0.0263803167228734,0.045581550284959,0.0366802097667181
"35",35,0.0588764954506587,0.036679121304721,0.0263803167228734,0.0238194871572223,0.0366802097667181
"36",36,0.126028538215451,0.0927687439763587,0.0263803167228734,0.0934729547708748,0.0366802097667181
"37",37,1,0.938733645498293,0.0263803167228734,1,0.0366802097667181
"38",38,0.0941604578849274,0.0713032592177501,0.0263803167228734,0.0604177831063846,0.0366802097667181
"39",39,0.055389031637072,0.0347262923423189,0.0263803167228734,0.0186250838088586,0.0397860119023628
"40",40,0.0587623690336571,0.0360544608672663,0.0263803167228734,0.0237011095120577,0.0366802097667181
"41",41,0.0603961374810678,0.0387762936046815,0.0263803167228734,0.025395736107983,0.0366802097667181
"42",42,0.05824788295088,0.0406008218928685,0.0263803167228734,0.0186250838088586,0.0456259555627322
"43",43,0.0615495060317875,0.0397171859926458,0.0263803167228734,0.0265920678305421,0.0366802097667181
"44",44,0.232857637116071,0.208150461194679,0.0263803167228734,0.204281455511992,0.0366802097667181
"45",45,0.0806895329726542,0.0582152328946722,0.0263803167228734,0.0464450639831636,0.0366802097667181
"46",46,0.0646353579964818,0.0424326093787183,0.0263803167228734,0.0297928682981647,0.0366802097667181
"47",47,0.22788907782763,0.191486146673175,0.0263803167228734,0.199127816557239,0.0366802097667181
"48",48,0.204197194456529,0.322444647665374,0.0263803167228734,0.0186250838088586,0.34376519503489
"49",49,0.525446480998851,0.974079894295378,0.0263803167228734,0.0186250838088586,1
"50",50,0.261100540862156,0.215331798270478,0.33083447005774,0.0186250838088586,0.0366802097667181
"51",51,0.0963456474217956,0.115797186016437,0.0263803167228734,0.0186250838088586,0.123450498945443
"52",52,0.26820050595641,0.237634524262906,0.0263803167228734,0.240940852140725,0.0366802097667181
"53",53,0.0696735646064166,0.0459455805681636,0.0263803167228734,0.0350187489488122,0.0366802097667181
"54",54,0.0681365563753565,0.0440878560502647,0.0263803167228734,0.0334244869035153,0.0366802097667181
"55",55,0.0554571730333564,0.0333925702608508,0.0263803167228734,0.0202727944067364,0.0366802097667181
"56",56,0.716579456516927,0.48034349679132,1,0.0186250838088586,0.0366802097667181
"57",57,0.162688681628678,0.122994216040517,0.186252972049393,0.0186250838088586,0.0366802097667181
"58",58,0.0555246345502559,0.0332982529686876,0.0263803167228734,0.0203427688764482,0.0366802097667181
"59",59,0.0584728216341677,0.0353706463904672,0.0263803167228734,0.0234007764234041,0.0366802097667181
"60",60,0.114104682501811,0.0887553520046751,0.114875930423418,0.0186250838088586,0.0366802097667181
"61",61,0.05589716911148,0.0336498396318147,0.0263803167228734,0.0207291804125214,0.0366802097667181
"62",62,0.0617780807147966,0.0400447312307364,0.0263803167228734,0.0268291569588064,0.0366802097667181
"63",63,0.0554571730333564,0.0333925702608508,0.0263803167228734,0.0202727944067364,0.0366802097667181
"64",64,0.1366225781858,0.0920258435629996,0.147958031659437,0.0186250838088586,0.0366802097667181
"65",65,0.0778791521002392,0.0485726967589165,0.0616552973371204,0.0186250838088586,0.0366802097667181
"66",66,0.0838075436345371,0.0591603675156527,0.0703649765920883,0.0186250838088586,0.0366802097667181
"67",67,0.0640153206988687,0.0415788878906152,0.0263803167228734,0.0291497345072862,0.0366802097667181
"68",68,0.233805437974022,0.386287743680815,0.0263803167228734,0.0186250838088586,0.404247694838052
"69",69,0.145929383410351,0.212527411073278,0.0263803167228734,0.0186250838088586,0.224738111646815
"70",70,0.062865209486804,0.0484054843835414,0.0263803167228734,0.0186250838088586,0.055058039946095
"71",71,0.0723773825904432,0.0697713620919521,0.0263803167228734,0.0186250838088586,0.0744891151981134
"72",72,0.488078940188869,0.878717140188567,0.0263803167228734,0.0186250838088586,0.923667127421826
"73",73,0.138910496788728,0.198088245595925,0.0263803167228734,0.0186250838088586,0.210400219280458
"74",74,0.135586964918279,0.106654245478572,0.0263803167228734,0.103387434470545,0.0366802097667181
"75",75,0.0612244644648214,0.0384873447466179,0.0263803167228734,0.0262549184107238,0.0366802097667181
"76",76,0.0708070327148112,0.0648584316934472,0.0263803167228734,0.0186250838088586,0.0712812691809156
"77",77,0.0608237863177434,0.0382613996046969,0.0263803167228734,0.0258393149355063,0.0366802097667181
"78",78,0.0729911003843142,0.070928144261334,0.0263803167228734,0.0186250838088586,0.0757427926182233
"79",79,0.0597401433606005,0.0436118576406463,0.0263803167228734,0.0186250838088586,0.0486742836367654
"80",80,0.0838002671237796,0.0888906292950927,0.0263803167228734,0.0186250838088586,0.0978233130248387
"81",81,0.171998915565197,0.25471115012552,0.0263803167228734,0.0186250838088586,0.277991877696544
"82",82,0.0569268170722047,0.0385418388104232,0.0263803167228734,0.0186250838088586,0.0429273366223776
"83",83,0.0746657495572418,0.0676854496502179,0.0263803167228734,0.0186250838088586,0.0791636969421194
"84",84,0.0569366106749207,0.0349666128645075,0.0263803167228734,0.021807341348429,0.0366802097667181
"85",85,0.0995035733102457,0.0736522636548748,0.0263803167228734,0.0659599304768969,0.0366802097667181
"86",86,0.0647415255347417,0.042660258577439,0.0263803167228734,0.0299029905950203,0.0366802097667181
"87",87,0.0717486139482703,0.0461268630001301,0.052648634964183,0.0186250838088586,0.0366802097667181
"88",88,0.144435322109487,0.206727178403011,0.0263803167228734,0.0186250838088586,0.221686104786563
"89",89,0.28296983886318,0.489926740722296,0.0263803167228734,0.0186250838088586,0.504678707077737
"90",90,0.24798334975014,0.238840241425001,0.311563386720735,0.0186250838088586,0.0366802097667181
"91",91,0.0581002732821731,0.0404092828494356,0.0263803167228734,0.0186250838088586,0.0453244246139871
