	Columba.palumbus	Garrulus.glandarius	Turdus.merula	Phoenicurus.ochruros	Erithacus.rubecula	Parus.ater	Fringilla.coelebs	Sylvia.conspicillata	Sylvia.atricapilla	Turdus.viscivorus	Sylvia.communis	Sylvia.melanocephala	Sylvia.borin	Parus.caeruleus	Phoenicurus.phoenicurus	Parus.cristatus	Parus.major	Sylvia.cantillans	Sitta.europaea	Dendrocopos.major	Unidentified	pm1933	pm1931	pm1932	pm1934	pm1936	pm1937	pm1938	pm1939	pm1940	pm1921	pm1823	pm1824	pm1820	pm1825	pm1929	pm8801	pm8808	pm8814	pm8865
pm1933	0	4	6	20	5	20	48	2	7	18	7	2	3	2	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1931	0	2	1	64	3	10	51	2	2	2	11	0	0	2	13	3	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1932	0	2	3	33	0	21	34	0	0	1	2	1	0	0	6	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1934	0	1	0	8	0	8	6	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1936	0	0	2	5	2	0	1	0	0	0	3	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1937	0	0	20	20	6	4	15	0	1	0	25	3	0	12	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1938	0	0	8	13	12	4	10	0	3	1	27	7	0	8	5	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1939	0	0	6	4	16	5	31	0	1	0	6	1	0	5	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1940	0	0	4	14	26	3	39	0	6	0	3	4	0	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1921	1	2	3	65	0	0	28	0	1	0	3	0	0	2	42	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1823	0	20	11	27	15	59	147	0	2	168	0	0	0	25	3	0	7	0	9	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1824	0	1	16	31	9	6	37	0	1	66	0	0	0	8	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
