	Columba.palumbus	Garrulus.glandarius	Turdus.merula	Phoenicurus.ochruros	Erithacus.rubecula	Parus.ater	Fringilla.coelebs	Sylvia.conspicillata	Sylvia.atricapilla	Turdus.viscivorus	Sylvia.communis	Sylvia.melanocephala	Sylvia.borin	Parus.caeruleus	Phoenicurus.phoenicurus	Parus.cristatus	Parus.major	Sylvia.cantillans	Sitta.europaea	Dendrocopos.major	Unidentified	pm1933	pm1931	pm1932	pm1934	pm1936	pm1937	pm1938	pm1939	pm1940	pm1921	pm1823	pm1824	pm1820	pm1825	pm1929	pm8801	pm8808	pm8814	pm8865
pm1820	0	7	1	26	1	2	39	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1825	0	4	1	28	3	10	87	0	0	13	0	0	0	1	2	2	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm1929	0	0	0	9	0	0	1	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm8801	0	6	4	134	14	21	47	0	0	24	32	0	1	33	13	1	4	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm8808	0	8	5	8	7	33	24	0	1	34	5	0	1	2	3	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm8814	1	4	25	32	78	5	3	0	0	1	8	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pm8865	0	0	5	47	3	41	14	0	0	9	13	0	2	24	7	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Columba.palumbus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Garrulus.glandarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	1	0	0	0	0	0	2	20	1	7	4	0	6	8	4	0
Turdus.merula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	3	0	2	20	8	6	4	3	11	16	1	1	0	4	5	25	5
Phoenicurus.ochruros	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	64	33	8	5	20	13	4	14	65	27	31	26	28	9	134	8	32	47
Erithacus.rubecula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	2	6	12	16	26	0	15	9	1	3	0	14	7	78	3
Parus.ater	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10	21	8	0	4	4	5	3	0	59	6	2	10	0	21	33	5	41
Fringilla.coelebs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	51	34	6	1	15	10	31	39	28	147	37	39	87	1	47	24	3	14
Sylvia.conspicillata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sylvia.atricapilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	1	3	1	6	1	2	1	0	0	0	0	1	0	0
Turdus.viscivorus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	2	1	0	0	0	1	0	0	0	168	66	10	13	0	24	34	1	9
Sylvia.communis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	2	0	3	25	27	6	3	3	0	0	0	0	5	32	5	8	13
Sylvia.melanocephala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	4	3	7	1	4	0	0	0	0	0	0	0	0	0	0
Sylvia.borin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2
Parus.caeruleus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	12	8	5	7	2	25	8	0	1	0	33	2	1	24
Phoenicurus.phoenicurus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	6	2	0	7	5	0	1	42	3	3	1	2	2	13	3	0	7
Parus.cristatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	1	1	0	0	0	0	2	0	1	1	0	0
Parus.major	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	0	0	0	4	0	0	0	7	0	0	1	0	4	0	0	0
Sylvia.cantillans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	3	4	1	0	0	0	0	0	0	0	27	2	1	1
Sitta.europaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	5	0	0	2	1	7
Dendrocopos.major	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0
