"plant"	"herbiviore"	"w"
"140"	"1820"	"Fungus.NI"	0
"141"	"1820"	"Taphrina.deformans"	0
"142"	"1820"	"Ungulates"	0
"143"	"1820"	"NI"	1
"144"	"1825"	"Yponomeuta.mahalebella"	0
"145"	"1825"	"Hemaris.fuciformis"	0
"146"	"1825"	"Iphiclides.podalirius.L"	0
"147"	"1825"	"Hedya.pruniana"	8
"148"	"1825"	"Orthoptera.NI"	0
"149"	"1825"	"Myzus.cerasi"	0
"150"	"1825"	"Aglaope.infausta"	0
"151"	"1825"	"Fungus.NI"	0
"152"	"1825"	"Taphrina.deformans"	0
"153"	"1825"	"Ungulates"	0
"154"	"1825"	"NI"	0
"155"	"1929"	"Yponomeuta.mahalebella"	8
"156"	"1929"	"Hemaris.fuciformis"	0
"157"	"1929"	"Iphiclides.podalirius.L"	0
"158"	"1929"	"Hedya.pruniana"	41
"159"	"1929"	"Orthoptera.NI"	5
"160"	"1929"	"Myzus.cerasi"	0
"161"	"1929"	"Aglaope.infausta"	5
"162"	"1929"	"Fungus.NI"	3
"163"	"1929"	"Taphrina.deformans"	0
"164"	"1929"	"Ungulates"	0
"165"	"1929"	"NI"	0
"166"	"8801"	"Yponomeuta.mahalebella"	0
"167"	"8801"	"Hemaris.fuciformis"	0
"168"	"8801"	"Iphiclides.podalirius.L"	0
"169"	"8801"	"Hedya.pruniana"	23
"170"	"8801"	"Orthoptera.NI"	0
"171"	"8801"	"Myzus.cerasi"	0
"172"	"8801"	"Aglaope.infausta"	0
"173"	"8801"	"Fungus.NI"	0
"174"	"8801"	"Taphrina.deformans"	0
"175"	"8801"	"Ungulates"	0
"176"	"8801"	"NI"	1
"177"	"8808"	"Yponomeuta.mahalebella"	10
"178"	"8808"	"Hemaris.fuciformis"	0
"179"	"8808"	"Iphiclides.podalirius.L"	0
"180"	"8808"	"Hedya.pruniana"	6
"181"	"8808"	"Orthoptera.NI"	0
"182"	"8808"	"Myzus.cerasi"	5
"183"	"8808"	"Aglaope.infausta"	0
"184"	"8808"	"Fungus.NI"	0
"185"	"8808"	"Taphrina.deformans"	0
"186"	"8808"	"Ungulates"	0
"187"	"8808"	"NI"	0
"188"	"8814"	"Yponomeuta.mahalebella"	0
"189"	"8814"	"Hemaris.fuciformis"	0
"190"	"8814"	"Iphiclides.podalirius.L"	0
"191"	"8814"	"Hedya.pruniana"	12
"192"	"8814"	"Orthoptera.NI"	0
"193"	"8814"	"Myzus.cerasi"	0
"194"	"8814"	"Aglaope.infausta"	0
"195"	"8814"	"Fungus.NI"	0
"196"	"8814"	"Taphrina.deformans"	0
"197"	"8814"	"Ungulates"	0
"198"	"8814"	"NI"	0
"199"	"8865"	"Yponomeuta.mahalebella"	0
"200"	"8865"	"Hemaris.fuciformis"	0
"201"	"8865"	"Iphiclides.podalirius.L"	0
"202"	"8865"	"Hedya.pruniana"	21
"203"	"8865"	"Orthoptera.NI"	0
"204"	"8865"	"Myzus.cerasi"	0
"205"	"8865"	"Aglaope.infausta"	0
"206"	"8865"	"Fungus.NI"	0
"207"	"8865"	"Taphrina.deformans"	0
"208"	"8865"	"Ungulates"	0
"209"	"8865"	"NI"	0
