"Layer";"Node";"Label";"Community"
"2-Multi";76;"Tmer";0
"2-Multi";77;"Poch";0
"2-Multi";78;"Erub";0
"2-Multi";79;"Pate";0
"2-Multi";80;"Fcoe";0
"2-Multi";81;"Scon";0
"2-Multi";82;"Satr";0
"2-Multi";83;"Tvis";0
"2-Multi";84;"Scom";0
"2-Multi";85;"Smel";0
"2-Multi";86;"Sbor";0
"2-Multi";87;"Pcae";0
"2-Multi";88;"Ppho";0
"2-Multi";89;"Pcri";0
"2-Multi";90;"Pmaj";0
"2-Multi";91;"Scan";0
"2-Multi";92;"Seur";0
"2-Multi";93;"Dmaj";0
"2-Multi";94;"AvNI";0
"3-Multi";1;"1933";1
"3-Multi";2;"1931";1
"3-Multi";3;"1932";1
"3-Multi";4;"1934";4
"3-Multi";5;"1936";8
"3-Multi";6;"1937";1
"3-Multi";7;"1938";1
"3-Multi";8;"1939";1
"3-Multi";9;"1940";1
"3-Multi";10;"1921";1
"3-Multi";11;"1823";1
"3-Multi";12;"1824";1
"3-Multi";13;"1820";1
"3-Multi";14;"1825";1
"3-Multi";15;"1929";3
"3-Multi";16;"8801";1
"3-Multi";17;"8808";1
"3-Multi";18;"8814";1
"3-Multi";19;"8865";1
"3-Multi";20;"Ymah";0
"3-Multi";21;"Hfuc";0
"3-Multi";22;"Ipod_larv";0
"3-Multi";23;"Hpru";0
"3-Multi";24;"OrNI";0
"3-Multi";25;"Mcer";0
"3-Multi";26;"Ainf";0
"3-Multi";27;"FuNI";0
"3-Multi";28;"Tdef";0
"3-Multi";29;"UNGU";0
"3-Multi";30;"NI";0
"3-Multi";31;"Htyt";0
"3-Multi";32;"Ipod";0
"3-Multi";33;"Vcar";0
"3-Multi";34;"Pves";0
"3-Multi";35;"Bprm";0
"3-Multi";36;"Bprw";0
"3-Multi";37;"Bpaw";0
"3-Multi";38;"Bpaq";0
"3-Multi";39;"Btew";0
"3-Multi";40;"Bteq";0
"3-Multi";41;"Xvio";0
"3-Multi";42;"Amel";0
"3-Multi";43;"Oruf";0
"3-Multi";44;"Aful";0
"3-Multi";45;"Asyn";0
"3-Multi";46;"Atri";0
"3-Multi";47;"Acon";0
"3-Multi";48;"Atib";0
"3-Multi";49;"Aalb";0
"3-Multi";50;"Aass";0
"3-Multi";51;"Hqua";0
"3-Multi";52;"Htri";0
"3-Multi";53;"Hsca";0
"3-Multi";54;"Lxan";0
"3-Multi";55;"Sgib";0
"3-Multi";56;"Mcen";0
"3-Multi";57;"Anig";0
"3-Multi";58;"Eten";0
"3-Multi";59;"Epra";0
"3-Multi";60;"Earb";0
"3-Multi";61;"Cglo";0
"3-Multi";62;"Mfuc";0
"3-Multi";63;"Dalb";0
"3-Multi";64;"Svit";0
"3-Multi";65;"Srib";0
"3-Multi";66;"Cber";0
"3-Multi";67;"Cvom";0
"3-Multi";68;"Gorn";0
"3-Multi";69;"Prud";0
"3-Multi";70;"Tcor";0
"3-Multi";71;"AsNI";0
"3-Multi";72;"EmNI";0
"3-Multi";73;"DiNI";0
"3-Multi";74;"Cpal";1
"3-Multi";75;"Ggla";1
"3-Multi";76;"Tmer";1
