layer,node,node_name,strength,strengthin,strengthout,degree,degreein,degreeout,pagerank,eigenvector,hub,authority,katz,multiplexity,kcore
Aggr,35,Bprm,2,2,2,1,1,1,NA,0.00344894369775692,NA,NA,NA,NA,4
Aggr,36,Bprw,15,15,15,3,3,3,NA,0.0229049060845792,NA,NA,NA,NA,8
Aggr,37,Bpaw,2,2,2,2,2,2,NA,0.00262687916983802,NA,NA,NA,NA,6
Aggr,38,Bpaq,2,2,2,2,2,2,NA,0.00259597637858034,NA,NA,NA,NA,6
Aggr,39,Btew,41,41,41,17,17,17,NA,0.0608760578827473,NA,NA,NA,NA,24
Aggr,40,Bteq,3,3,3,3,3,3,NA,0.00464653469053672,NA,NA,NA,NA,8
Aggr,41,Xvio,6,6,6,5,5,5,NA,0.00813703680061679,NA,NA,NA,NA,12
Aggr,42,Amel,19,19,19,11,11,11,NA,0.0262324998679255,NA,NA,NA,NA,22
Aggr,43,Oruf,6,6,6,2,2,2,NA,0.0116511769455824,NA,NA,NA,NA,6
Aggr,44,Aful,482,482,482,180,180,180,NA,0.630566328723735,NA,NA,NA,NA,24
Aggr,45,Asyn,8,8,8,3,3,3,NA,0.0113682596640836,NA,NA,NA,NA,8
Aggr,46,Atri,4,4,4,3,3,3,NA,0.00590300487954404,NA,NA,NA,NA,8
Aggr,47,Acon,52,52,52,5,5,5,NA,0.0793162953810473,NA,NA,NA,NA,12
Aggr,48,Atib,1,1,1,1,1,1,NA,0.00172447184887846,NA,NA,NA,NA,4
Aggr,49,Aalb,6,6,6,5,5,5,NA,0.00760004367360005,NA,NA,NA,NA,12
Aggr,50,Aass,3,3,3,1,1,1,NA,0.00517341554663538,NA,NA,NA,NA,4
Aggr,51,Hqua,9,9,9,7,7,7,NA,0.00952618087217488,NA,NA,NA,NA,16
Aggr,52,Htri,1,1,1,1,1,1,NA,0.00205055831195638,NA,NA,NA,NA,4
Aggr,53,Hsca,8,8,8,5,5,5,NA,0.00918183253983543,NA,NA,NA,NA,12
Aggr,54,Lxan,1,1,1,1,1,1,NA,0.000403502869830736,NA,NA,NA,NA,4
Aggr,55,Sgib,4,4,4,3,3,3,NA,0.00517952766409009,NA,NA,NA,NA,8
Aggr,56,Mcen,1,1,1,1,1,1,NA,0.00205055831195638,NA,NA,NA,NA,4
Aggr,57,Anig,1,1,1,1,1,1,NA,0.00205055831195638,NA,NA,NA,NA,4
Aggr,58,Eten,112,112,112,10,10,10,NA,0.150091751023144,NA,NA,NA,NA,22
Aggr,59,Epra,7,7,7,4,4,4,NA,0.00755694615217067,NA,NA,NA,NA,10
Aggr,60,Earb,17,17,17,5,5,5,NA,0.023485051941926,NA,NA,NA,NA,12
Aggr,61,Cglo,26,26,26,7,7,7,NA,0.0281252273684343,NA,NA,NA,NA,16
Aggr,62,Mfuc,5,5,5,2,2,2,NA,0.00527982020446044,NA,NA,NA,NA,6
Aggr,63,Dalb,4,4,4,3,3,3,NA,0.00279988392508505,NA,NA,NA,NA,8
Aggr,64,Svit,28,28,28,9,9,9,NA,0.0301399231459376,NA,NA,NA,NA,20
Aggr,65,Srib,2,2,2,2,2,2,NA,0.00210454181735012,NA,NA,NA,NA,6
Aggr,66,Cber,3,3,3,3,3,3,NA,0.00463041167386719,NA,NA,NA,NA,8
Aggr,67,Cvom,577,577,577,19,19,19,NA,0.730113448701976,NA,NA,NA,NA,24
Aggr,68,Gorn,133,133,133,15,15,15,NA,0.14201926813707,NA,NA,NA,NA,24
Aggr,69,Prud,49,49,49,10,10,10,NA,0.0427394179979648,NA,NA,NA,NA,22
Aggr,70,Tcor,7,7,7,3,3,3,NA,0.00748509255718216,NA,NA,NA,NA,8
Aggr,71,AsNI,56,56,56,7,7,7,NA,0.0601378080037324,NA,NA,NA,NA,16
Aggr,72,EmNI,113,113,113,11,11,11,NA,0.127596813669881,NA,NA,NA,NA,22
Aggr,73,DiNI,5,5,5,2,2,2,NA,0.00544212092234849,NA,NA,NA,NA,6
Aggr,74,Cpal,2,2,2,2,2,2,NA,0.00161898740050387,NA,NA,NA,NA,6
Aggr,75,Ggla,61,61,61,12,12,12,NA,0.0941665053167073,NA,NA,NA,NA,24
Aggr,76,Tmer,121,121,121,17,17,17,NA,0.126972438420579,NA,NA,NA,NA,24
Aggr,77,Poch,588,588,588,19,19,19,NA,0.737691236016002,NA,NA,NA,NA,24
Aggr,78,Erub,200,200,200,15,15,15,NA,0.226698075915647,NA,NA,NA,NA,24
Aggr,79,Pate,252,252,252,16,16,16,NA,0.350863297132157,NA,NA,NA,NA,24
Aggr,80,Fcoe,662,662,662,19,19,19,NA,1,NA,NA,NA,NA,24
Aggr,81,Scon,4,4,4,2,2,2,NA,0.00497164602755914,NA,NA,NA,NA,6
Aggr,82,Satr,25,25,25,10,10,10,NA,0.0326074769288635,NA,NA,NA,NA,22
Aggr,83,Tvis,347,347,347,12,12,12,NA,0.648467965898764,NA,NA,NA,NA,24
Aggr,84,Scom,150,150,150,14,14,14,NA,0.146919303517994,NA,NA,NA,NA,24
Aggr,85,Smel,22,22,22,7,7,7,NA,0.0191028411507642,NA,NA,NA,NA,16
Aggr,86,Sbor,8,8,8,5,5,5,NA,0.00693620468390215,NA,NA,NA,NA,12
Aggr,87,Pcae,132,132,132,14,14,14,NA,0.191618745794814,NA,NA,NA,NA,24
Aggr,88,Ppho,112,112,112,16,16,16,NA,0.126003622338508,NA,NA,NA,NA,24
Aggr,89,Pcri,11,11,11,7,7,7,NA,0.0136924148451367,NA,NA,NA,NA,16
Aggr,90,Pmaj,26,26,26,7,7,7,NA,0.0416876846086943,NA,NA,NA,NA,16
Aggr,91,Scan,42,42,42,10,10,10,NA,0.0554573573728447,NA,NA,NA,NA,22
Aggr,92,Seur,25,25,25,6,6,6,NA,0.0388169024165627,NA,NA,NA,NA,14
Aggr,93,Dmaj,7,7,7,1,1,1,NA,0.0187396624976462,NA,NA,NA,NA,4
Aggr,94,AvNI,6,6,6,4,4,4,NA,0.00887085561391713,NA,NA,NA,NA,10
