"plant"	"pollinator"	"w"
"130"	"1934"	"Hemaris.tityus"	0
"131"	"1934"	"Iphiclides.podalirius.Ad"	0
"132"	"1934"	"Vanessa.cardui"	0
"133"	"1934"	"Psithyrus.vestalis.obenbergeri"	0
"134"	"1934"	"Bombus.pratorum.m."	0
"135"	"1934"	"Bombus.pratorum.wk."	0
"136"	"1934"	"Bombus.pascuorum.wk."	0
"137"	"1934"	"Bombus.pascuorum.q."	0
"138"	"1934"	"Bombus.terrestris.wk."	2
"139"	"1934"	"Bombus.terrestris.q."	0
"140"	"1934"	"Xylocopa.violacea"	0
"141"	"1934"	"Apis.mellifera"	0
"142"	"1934"	"Osmia.rufa"	0
"143"	"1934"	"Andrena.fulva"	28
"144"	"1934"	"Andrena.synadelpha.nigroaenea"	0
"145"	"1934"	"Andrena.trimmerana"	0
"146"	"1934"	"Andrena.congruens"	0
"147"	"1934"	"Andrena.tibialis.corvina"	0
"148"	"1934"	"Andrena.albopunctata.morio"	1
"149"	"1934"	"Andrena.assimilis"	0
"150"	"1934"	"Halictus.quadricinctus"	1
"151"	"1934"	"Halictus.tridivisus"	0
"152"	"1934"	"Halictus.scabiosae"	2
"153"	"1934"	"Lasioglossum.xanthopum"	0
"154"	"1934"	"Sphecodes.gibbus"	0
"155"	"1934"	"Megachile.centuncularis"	0
"156"	"1934"	"Ancistrocerus.nigricornis"	0
"157"	"1934"	"Eristalis.tenax"	1
"158"	"1934"	"Eristalis.pratorum"	0
"159"	"1934"	"Eristalis.arbustorum"	0
"160"	"1934"	"Cheilosia.glossa"	0
"161"	"1934"	"Mallota.fuciformis"	0
"162"	"1934"	"Dasysyrphus.albostriatus"	0
"163"	"1934"	"Syrphus.vitripennis"	0
"164"	"1934"	"Syrphus.ribessi"	0
"165"	"1934"	"Criorhina.berberina"	0
"166"	"1934"	"Calliphora.vomitoria"	10
"167"	"1934"	"Gonia.ornata"	0
"168"	"1934"	"Pollenia.rudis"	0
"169"	"1934"	"Tachina.corsicana"	0
"170"	"1934"	"Asilidae.NI"	0
"171"	"1934"	"Empididae.NI"	1
"172"	"1934"	"Diptera.NI"	0
"173"	"1936"	"Hemaris.tityus"	0
"174"	"1936"	"Iphiclides.podalirius.Ad"	1
"175"	"1936"	"Vanessa.cardui"	0
"176"	"1936"	"Psithyrus.vestalis.obenbergeri"	0
"177"	"1936"	"Bombus.pratorum.m."	0
"178"	"1936"	"Bombus.pratorum.wk."	0
"179"	"1936"	"Bombus.pascuorum.wk."	0
"180"	"1936"	"Bombus.pascuorum.q."	0
"181"	"1936"	"Bombus.terrestris.wk."	1
"182"	"1936"	"Bombus.terrestris.q."	0
"183"	"1936"	"Xylocopa.violacea"	0
"184"	"1936"	"Apis.mellifera"	0
"185"	"1936"	"Osmia.rufa"	0
"186"	"1936"	"Andrena.fulva"	2
"187"	"1936"	"Andrena.synadelpha.nigroaenea"	2
"188"	"1936"	"Andrena.trimmerana"	0
"189"	"1936"	"Andrena.congruens"	0
"190"	"1936"	"Andrena.tibialis.corvina"	0
"191"	"1936"	"Andrena.albopunctata.morio"	0
"192"	"1936"	"Andrena.assimilis"	0
"193"	"1936"	"Halictus.quadricinctus"	0
"194"	"1936"	"Halictus.tridivisus"	0
"195"	"1936"	"Halictus.scabiosae"	0
"196"	"1936"	"Lasioglossum.xanthopum"	0
"197"	"1936"	"Sphecodes.gibbus"	0
"198"	"1936"	"Megachile.centuncularis"	0
"199"	"1936"	"Ancistrocerus.nigricornis"	0
"200"	"1936"	"Eristalis.tenax"	6
"201"	"1936"	"Eristalis.pratorum"	1
"202"	"1936"	"Eristalis.arbustorum"	0
"203"	"1936"	"Cheilosia.glossa"	2
"204"	"1936"	"Mallota.fuciformis"	1
"205"	"1936"	"Dasysyrphus.albostriatus"	2
