# A multilayer network using explicit format.
# Figure 3
*Vertices 94. Trees: 19; Animals: 75.
# node_id name
1 30 1 16 0.5
1 20 1 17 5
1 21 1 17 0
1 22 1 17 0
1 23 1 17 3
1 24 1 17 0
1 25 1 17 2.5
1 26 1 17 0
1 27 1 17 0
1 28 1 17 0
1 29 1 17 0
1 30 1 17 0
1 20 1 18 0
1 21 1 18 0
1 22 1 18 0
1 23 1 18 6
1 24 1 18 0
1 25 1 18 0
1 26 1 18 0
1 27 1 18 0
1 28 1 18 0
1 29 1 18 0
1 30 1 18 0
1 20 1 19 0
1 21 1 19 0
1 22 1 19 0
1 23 1 19 10.5
1 24 1 19 0
1 25 1 19 0
1 26 1 19 0
1 27 1 19 0
1 28 1 19 0
1 29 1 19 0
1 30 1 19 0
1 1 1 20 0
1 2 1 20 0
1 3 1 20 0
1 4 1 20 2.5
1 5 1 20 0
1 6 1 20 0
1 7 1 20 0
1 8 1 20 0
1 9 1 20 0
1 10 1 20 7.5
1 11 1 20 0
1 12 1 20 0
1 13 1 20 10
1 14 1 20 0
1 15 1 20 4
1 16 1 20 0
1 17 1 20 5
1 18 1 20 0
1 19 1 20 0
1 1 1 21 0
1 2 1 21 0
1 3 1 21 0
1 4 1 21 0
1 5 1 21 0
1 6 1 21 31
1 7 1 21 0
1 8 1 21 0
1 9 1 21 0
1 10 1 21 0
1 11 1 21 0
1 12 1 21 0
1 13 1 21 0
1 14 1 21 0
1 15 1 21 0
1 16 1 21 0
1 17 1 21 0
1 18 1 21 0
1 19 1 21 0
1 1 1 22 0
1 2 1 22 0
1 3 1 22 0
1 4 1 22 0
1 5 1 22 9
1 6 1 22 5
1 7 1 22 0
1 8 1 22 0
1 9 1 22 2.5
1 10 1 22 0
1 11 1 22 0
1 12 1 22 0
1 13 1 22 0
1 14 1 22 0
1 15 1 22 0
1 16 1 22 0
1 17 1 22 0
1 18 1 22 0
1 19 1 22 0
1 1 1 23 3
1 2 1 23 29.5
1 3 1 23 4
1 4 1 23 0
1 5 1 23 9
1 6 1 23 5.5
1 7 1 23 2.5
1 8 1 23 9
1 9 1 23 2
1 10 1 23 4
1 11 1 23 15
1 12 1 23 5
1 13 1 23 0
1 14 1 23 4
1 15 1 23 20.5
1 16 1 23 11.5
1 17 1 23 3
1 18 1 23 6
1 19 1 23 10.5
1 1 1 24 0
1 2 1 24 0
1 3 1 24 0
1 4 1 24 0
1 5 1 24 4
1 6 1 24 0
1 7 1 24 0
1 8 1 24 0
1 9 1 24 0
1 10 1 24 0
1 11 1 24 0
1 12 1 24 0
1 13 1 24 1
1 14 1 24 0
1 15 1 24 2.5
1 16 1 24 0
1 17 1 24 0
1 18 1 24 0
1 19 1 24 0
1 1 1 25 0
1 2 1 25 5
1 3 1 25 0
1 4 1 25 0
1 5 1 25 0
1 6 1 25 2.5
1 7 1 25 0
1 8 1 25 0
1 9 1 25 0
1 10 1 25 0
1 11 1 25 0
1 12 1 25 0
1 13 1 25 10
1 14 1 25 0
1 15 1 25 0
1 16 1 25 0
1 17 1 25 2.5
1 18 1 25 0
1 19 1 25 0
1 1 1 26 0
1 2 1 26 0
1 3 1 26 0
1 4 1 26 0
1 5 1 26 2.5
1 6 1 26 0
1 7 1 26 0
1 8 1 26 0
1 9 1 26 5.5
1 10 1 26 5
1 11 1 26 0
1 12 1 26 0
1 13 1 26 0
1 14 1 26 0
1 15 1 26 2.5
1 16 1 26 0
1 17 1 26 0
1 18 1 26 0
1 19 1 26 0
1 1 1 27 0
1 2 1 27 8.5
1 3 1 27 0
1 4 1 27 5
1 5 1 27 2.5
1 6 1 27 4
1 7 1 27 0
1 8 1 27 0
1 9 1 27 15
1 10 1 27 15
1 11 1 27 2
1 12 1 27 5.5
1 13 1 27 0
1 14 1 27 0
1 15 1 27 1.5
1 16 1 27 0
1 17 1 27 0
1 18 1 27 0
1 19 1 27 0
1 1 1 28 0
1 2 1 28 0
1 3 1 28 0
1 4 1 28 0
1 5 1 28 1
1 6 1 28 2.5
1 7 1 28 0
1 8 1 28 1
1 9 1 28 0
1 10 1 28 0
1 11 1 28 0
1 12 1 28 0
1 13 1 28 0
1 14 1 28 0
1 15 1 28 0
1 16 1 28 0
1 17 1 28 0
1 18 1 28 0
1 19 1 28 0
1 1 1 29 0
1 2 1 29 0
1 3 1 29 0
1 4 1 29 30
1 5 1 29 5
1 6 1 29 0
1 7 1 29 0
1 8 1 29 0
1 9 1 29 30
1 10 1 29 0
1 11 1 29 0
1 12 1 29 0
1 13 1 29 0
1 14 1 29 0
1 15 1 29 0
1 16 1 29 0
1 17 1 29 0
1 18 1 29 0
1 19 1 29 0
1 1 1 30 0
1 2 1 30 1
1 3 1 30 0.5
1 4 1 30 0
1 5 1 30 1
1 6 1 30 0
1 7 1 30 0
1 8 1 30 0
1 9 1 30 0
1 10 1 30 0.5
1 11 1 30 1.5
1 12 1 30 0
1 13 1 30 0.5
1 14 1 30 0
1 15 1 30 0
1 16 1 30 0.5
1 17 1 30 0
1 18 1 30 0
1 19 1 30 0
1 1 2 1 1
2 31 2 1 0
2 32 2 1 0.5
2 33 2 1 0.5
2 34 2 1 0
2 35 2 1 0
2 36 2 1 0
2 37 2 1 0
2 38 2 1 0
2 39 2 1 1
2 40 2 1 0
2 41 2 1 0
2 42 2 1 0.5
2 43 2 1 0
2 44 2 1 1
2 45 2 1 0
2 46 2 1 0
2 47 2 1 4
2 48 2 1 0
2 49 2 1 0
2 50 2 1 0
2 51 2 1 0
2 52 2 1 0
