order	fam	sp	common	behav	bmass	gape	frug	BESP	UFSC	JURU	IRAC	FSJO	SGEN	CARA	SCLA	MPAD	PANT	SJOA	CAET	IGUA	CARD	PILO	RUNA	SMAZ	SBAR	VRIC	SVIR	CBOT	TING
Galliformes	Cracidae	Penelope superciliaris	Rusty-margined Guan	defecate	850.0	19.5	3	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0
Coraciiformes	Corvidae	Cyanocorax caeruleus 	Azure Jay	pulp consumer	272.0	17.2	1	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	0	1	NA	NA	NA	1	NA	NA	1	NA
Passeriformes	Fringillidae	Euphonia pectoralis	Chestnut-bellied Euphonia	pulp consumer	16.5	6.5	3	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1
Passeriformes	Fringillidae	Euphonia violacea	Violaceous Euphonia	pulp consumer	15.0	6.5	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Passeriformes	Icteridae	Cacicus haemorrhous	Red-rumped Cacique	pulp consumer	102.0	12.4	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	1	0	1	1
Psittaciformes	Psittacidae	Pionus maximiliani	Scaly-headed Parrot	pulp consumer	293.0	16.2	3	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1
Passeriformes	Thraupidae	Dacnis cayana	Blue Dacnis	pulp consumer	11.2	7.0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Passeriformes	Thraupidae	Lanio melanops	Black-goggled Tanager	pulp consumer	28.0	10.1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Passeriformes	Thraupidae	Orthogonys chloricterus	Olive-green Tanager	pulp consumer	16.0	9.8	2	NA	NA	1	NA	NA	NA	1	NA	NA	NA	0	NA	NA	1		NA	NA	1	NA	1	1	1
Passeriformes	Thraupidae	Saltator similis	Green-winged Saltator	pulp consumer	43.3	13.0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	NA	NA	1	1	1	1	1
Passeriformes	Thraupidae	Tachyphonus coronatus	Ruby-crowned Tanager	pulp consumer	29.3	9.1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	1	1
Passeriformes	Thraupidae	Tangara cayana	Burnished-buff Tanager	pulp consumer	18.0	8.8	2	1	1	1	1	1	1	NA	1	1	1	0	1	0	1	1	1	1	1	0	1	NA	1
Passeriformes	Thraupidae	Tangara cyanocephala	Red-necked Tanager	pulp consumer	20.4	6.6	2	0	0	1	0	0	0	1	1	NA	0	0	0	0	1	1	1	1	1	NA	0	1	1
Passeriformes	Thraupidae	Tangara cyanoptera	Azure-shouldered Tanager	pulp consumer	43.3	10.9	2	1	NA	1	NA	0	0	0	NA	NA	0	0	NA	NA	1	1	NA	NA	1	NA	1	1	1
Passeriformes	Thraupidae	Tangara ornata	Golden-chevroned Tanager	pulp consumer	NA	NA	2	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	1	1
Passeriformes	Thraupidae	Tangara palmarum	Palm Tanager	pulp consumer	30.0	10.1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Passeriformes	Thraupidae	Tangara sayaca	Sayaca Tanager	pulp consumer	32.0	10.1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Passeriformes	Thraupidae	Tangara seledon	Green-headed Tanager	pulp consumer	18.7	7.0	2	0	0	1	0	0	0	1	0	0	1	1	NA	1	1	1	1	1	1	1	1	1	1
Passeriformes	Tityridae	Oxyruncus cristatus	Sharpbill	pulp consumer	42.0	10.8	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	NA	NA	1	1	1	1	1
Passeriformes	Vireonidae	Cyclarhis gujanensis	Rufous-browed Peppershrike	pulp consumer	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Columbiformes	Columbidae	Geotrygon montana	Ruddy Quail-dove	seed predator	115.0	10.3	3	1	0	1	0	0	0	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	0
Psittaciformes	Psittacidae	Amazona brasiliensis	Red-tailed Parrot	seed predator	425.0	18.8	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
Psittaciformes	Psittacidae	Brotogeris tirica	Plain Parakeet 	seed predator	63.0	9.9	3	1	NA	1	NA	NA	NA	1	NA	1	0	1	NA	NA	1	1	1	1	1	NA	1	1	1
Psittaciformes	Psittacidae	Pyrrhura frontalis	Maroon-bellied Parakeet	seed predator	72.0	11.2	3	0	0	1	0	0	0	1	0	0	1	0	1	1	1	1	NA	NA	1	1	1	1	1
Psittaciformes	Psittacidae	Triclaria malachitacea	Blue-bellied Parrot	seed predator	90.0	13.6	3	NA	NA	1	NA	NA	NA	1	0	0	NA	0	0	0	0	0	NA	NA	1	NA	0	1	1
Tinamiformes	Tinamidae	Crypturellus tataupa	Tataupa Tinamou	seed predator	264.0	12.8	2	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1
Tinamiformes	Tinamidae	Tinamus solitarius	Solitary Tinamou	seed predator	1284.0	20.9	2	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1
