order	fam	sp	common	code	behav	bmass	gape	frug	BESP	UFSC	JURU	IRAC	FSJO	SGEN	CARA	SCLA	MPAD	PANT	SJOA	CAET	IGUA	CARD	PILO	RUNA	SMAZ	SBAR	VRIC	SVIR	CBOT	TING
Passeriformes	Cotingidae	Carpornis cucullata	Hooded Berryeater	Ccuc	regurgitate	75.7	14.4	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1
Passeriformes	Cotingidae	Carpornis melanocephala	Black-headed Berryeater	Cmel	regurgitate	64.2	16.9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0
Passeriformes	Cotingidae	Lipaugus lanioides	Cinnamon-vented Piha	Llan	regurgitate	94.8	18.7	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0
Passeriformes	Cotingidae	Lipaugus vociferans	Screaming Piha	Lvoc	regurgitate	69.2	17.7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Passeriformes	Cotingidae	Procnias nudicollis	Bare-throated Bellbird	Pnud	regurgitate	174.0	24.5	3	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
Passeriformes	Cotingidae	Pyroderus scutatus	Red-ruffed Fruitcrow	Pscu	regurgitate	357.0	26.7	3	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1	0
Passeriformes	Cotingidae	Tijuca atra	Black-and-gold Cotinga	Tatr	regurgitate	80.0	15.2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Passeriformes	Mimidae	Mimus saturninus	Chalk-browed Mockingbird	Msat	regurgitate	73.0	12.9	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1
Coraciiformes	Momotidae	Baryphthengus ruficapillus	Rufous-capped Motmot	Bruf	regurgitate	175.0	17.2	1	0	0	1	0	0	0	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1
Piciformes	Picidae	Celeus flavescens	Blond-crested Woodpecker	Cfla	regurgitate	201.0	12.9	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1
Gruiformes	Rallidae	Aramides cajanea	Gray-necked Wood-Rail	Acaj	regurgitate	397.0	16.4	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	0
Piciformes	Ramphastidae	Pteroglossus aracari	Black-necked Aracari	Para	regurgitate	232.0	29.1	3	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0
Piciformes	Ramphastidae	Pteroglossus bailloni	Saffron Toucanet	Pbai	regurgitate	139.0	23.6	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0
Piciformes	Ramphastidae	Ramphastos dicolorus	Red-breasted Toucan	Rdic	regurgitate	400.0	30.7	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	1
Piciformes	Ramphastidae	Ramphastos vitellinus	Channel-billed Toucan	Rvit	regurgitate	361.5	31.0	3	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1
Piciformes	Ramphastidae	Selenidera maculirostris	Spot-billed Toucanet	Smac	regurgitate	160.0	25.2	3	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	1	1
Passeriformes	Tityridae	Tityra cayana	Black-tailed Tityra	Tcay	regurgitate	68.1	18.7	2	0	0	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0
Trogoniformes	Trogonidae	Trogon rufus	Black-throated Trogon	Truf	regurgitate	52.8	17.8	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1
Trogoniformes	Trogonidae	Trogon surrucura	Surucua Trogon	Tsur	regurgitate	73.3	18.0	1	1	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	1
Trogoniformes	Trogonidae	Trogon viridis	White-tailed Trogon	Tvir	regurgitate	87.6	19.6	2	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1
Passeriformes	Turdidae	Turdus albicollis	White-necked Thrush	Talb	regurgitate	54.1	11.2	2	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Passeriformes	Turdidae	Turdus amaurochalinus	Creamy-bellied Thrush	Tama	regurgitate	63.1	11.4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Passeriformes	Turdidae	Turdus flavipes	Yellow-legged Thrush	Tfla	regurgitate	60.0	12.0	2	0	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1
Passeriformes	Turdidae	Turdus leucomelas	Pale-breasted Thrush	Tleu	regurgitate	68.6	11.9	2	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Passeriformes	Turdidae	Turdus rufiventris	Rufous-bellied Thrush	Trfv	regurgitate	69.5	12.0	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Passeriformes	Turdidae	Turdus subalaris	Eastern Slaty Thrush	Tsub	regurgitate	49.5	12.0	2	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0
Passeriformes	Tyrannidae	Myiodynastes maculatus	Streaked Flycatcher	Mmac	regurgitate	45.9	17.0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0
Passeriformes	Tyrannidae	Pitangus sulphuratus 	Great Kiskadee	Psul	regurgitate	61.0	15.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Galliformes	Cracidae	Aburria jacutinga	Black-fronted Piping-Guan	Ajac	defecate	1250.0	24.0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0
